DEPTH_M,DEPTH_F,BS,CALI,DENS,DRHO,DTC,DTS,GR,NEUT,PEF,RESD,RESM,RESS,TEMP,TENS
2499.8172,8201.5003,12.5,12.1779,2.4484,0.019703,89.2881,146.9877,103.6568,0.255953,2.5113,6.2885,6.084,5.9969,70,1663.2195
2499.9696,8202.0003,12.5,12.1779,2.4514,0.019951,89.7513,147.1076,101.6434,0.25604,2.4938,6.5668,6.3479,6.2982,70,1658.8743
2500.122,8202.5003,12.5,12.1779,2.4637,0.02,89.9181,146.9753,100.2239,0.261165,2.5891,6.7277,6.528,6.4874,70,1658.9932
2500.2744,8203.0003,12.5,12.1779,2.4783,0.02,90.0109,146.7802,98.9525,0.267546,2.7125,6.8593,6.6873,6.6486,70,1660.2244
2500.4268,8203.5003,12.5,12.1779,2.4928,0.02,90.1037,146.5851,97.6811,0.273926,2.8359,6.9909,6.8466,6.8098,70,1661.4556
2500.5792,8204.0003,12.5,12.1779,2.503,0.019604,90.1879,146.2676,98.3947,0.276014,2.9348,7.0432,6.9163,6.8445,70,1664.3126
2500.7316,8204.5003,12.5,12.1779,2.5092,0.018842,90.264,145.8372,100.9429,0.274135,3.0109,7.0221,6.9031,6.7623,70,1668.6724
2500.884,8205.0003,12.5,12.1779,2.5153,0.01808,90.3401,145.4067,103.4911,0.272255,3.0871,7.001,6.89,6.6801,70,1673.0321
2501.0364,8205.5003,12.5,12.1779,2.5149,0.017682,90.2774,145.1174,105.1101,0.270219,3.1215,7.1579,7.0181,6.739,70,1676.3285
2501.1888,8206.0003,12.5,12.1779,2.4933,0.018444,89.7721,145.2781,103.7678,0.267681,3.0232,7.8818,7.5963,7.2476,70,1676.2361
2501.3412,8206.5003,12.5,12.1779,2.4718,0.019206,89.2668,145.4388,102.4255,0.265144,2.9249,8.6057,8.1744,7.7563,70,1676.1436
2501.4936,8207.0003,12.5,12.1779,2.4503,0.019968,88.7615,145.5995,101.0832,0.262607,2.8266,9.3296,8.7526,8.2649,70,1676.0511
2501.646,8207.5003,12.5,12.1779,2.431,0.019047,88.6431,146.1278,101.443,0.280623,2.7596,10.8737,10.3152,9.9511,70,1678.6417
2501.7984,8208.0003,12.5,12.1779,2.4119,0.018052,88.5417,146.6723,101.8774,0.29954,2.6939,12.4538,11.921,11.6888,70,1681.3499
2501.9508,8208.5003,12.5,12.1779,2.3928,0.017057,88.4403,147.2167,102.3118,0.318457,2.6283,14.0339,13.5268,13.4266,70,1684.058
2502.1032,8209.0003,12.5,12.1779,2.377,0.016591,88.2804,147.6235,105.9261,0.321923,2.6098,15.4243,14.9998,14.9072,70,1683.8907
2502.2556,8209.5003,12.5,12.1779,2.3628,0.016378,88.0927,147.9647,111.0564,0.318021,2.6138,16.7244,16.4095,16.2652,70,1682.3527
2502.408,8210.0003,12.5,12.1779,2.3487,0.016165,87.905,148.3058,116.1868,0.31412,2.6178,18.0244,17.8192,17.6231,70,1680.8145
2502.5604,8210.5003,12.5,12.1779,2.3446,0.016511,87.849,148.5377,119.4474,0.315424,2.6342,18.9687,18.7883,18.4629,69.8796,1677.8379
2502.7128,8211.0003,12.5,12.1779,2.356,0.017709,87.9936,148.603,119.8604,0.324656,2.6694,19.371,19.0863,18.5135,69.5759,1672.6703
2502.8652,8211.5003,12.5,12.1779,2.3673,0.018906,88.1383,148.6683,120.2733,0.333887,2.7046,19.7733,19.3843,18.564,69.2721,1667.5026
2503.0176,8212.0003,12.5,12.1779,2.3763,0.020033,88.2829,148.7239,120.6418,0.340703,2.7349,20.1374,19.6694,18.6433,69.0033,1663.2805
2503.17,8212.5003,12.5,12.1779,2.3674,0.020615,88.4275,148.7053,120.6702,0.329009,2.728,20.2095,19.8554,18.9422,69.0023,1666.3
2503.3224,8213.0003,12.5,12.1779,2.3585,0.021197,88.5721,148.6866,120.6986,0.317315,2.7212,20.2816,20.0414,19.2411,69.0012,1669.3196
2503.4748,8213.5003,12.5,12.1779,2.3496,0.021779,88.7168,148.668,120.727,0.305621,2.7143,20.3537,20.2274,19.54,69.0002,1672.3391
2503.6272,8214.0003,12.5,12.1779,2.3457,0.021367,88.4534,148.634,123.0501,0.317013,2.6908,18.5706,18.5115,17.9913,69.0031,1671.4725
2503.7796,8214.5003,12.5,12.1779,2.3428,0.020758,88.1091,148.5969,125.8278,0.332979,2.6641,16.4199,16.4188,16.0767,69.0069,1669.8362
2503.932,8215.0003,12.5,12.1779,2.3399,0.020149,87.7649,148.5599,128.6055,0.348944,2.6374,14.2692,14.326,14.162,69.0106,1668.1997
2504.0844,8215.5003,12.5,12.1779,2.3599,0.019424,87.5587,148.5454,130.208,0.354935,2.6133,12.5149,12.5292,12.371,69.179,1667.3119
2504.2368,8216.0003,12.5,12.1779,2.3983,0.018606,87.4637,148.5492,130.8635,0.352889,2.5912,11.08,10.9709,10.6795,69.4801,1667.0271
2504.3892,8216.5003,12.5,12.1779,2.4366,0.017788,87.3687,148.5529,131.519,0.350844,2.5691,9.6451,9.4125,8.988,69.7811,1666.7423
2504.5416,8217.0003,12.5,12.1779,2.465,0.016594,87.5089,148.6355,132.8001,0.342826,2.5611,8.5285,8.1914,7.6895,70,1667.6843
2504.694,8217.5003,12.5,12.1779,2.4667,0.014402,88.2757,148.9283,135.7473,0.318899,2.5908,8.2597,7.8689,7.4374,70,1671.8938
2504.8464,8218.0003,12.5,12.1779,2.4684,0.01221,89.0424,149.2211,138.6946,0.294973,2.6204,7.9908,7.5463,7.1853,70,1676.1033
2504.9988,8218.5003,12.5,12.1779,2.4701,0.010017,89.8091,149.5139,141.6419,0.271047,2.65,7.722,7.2237,6.9332,70,1680.3127
2505.1512,8219.0003,12.5,12.1779,2.4714,0.012106,90.8844,149.8795,139.8261,0.264876,2.6659,7.4958,7.1129,6.8761,70,1678.9349
2505.3036,8219.5003,12.5,12.1779,2.4726,0.01423,91.9622,150.2458,137.9725,0.258846,2.6818,7.27,7.0037,6.8205,70,1677.5127
2505.456,8220.0003,12.5,12.1779,2.4739,0.016353,93.04,150.612,136.1189,0.252816,2.6976,7.0441,6.8946,6.765,70,1676.0905
2505.6084,8220.5003,12.5,12.1779,2.4748,0.017895,93.9537,150.6148,131.377,0.24957,2.6517,6.9281,6.8104,6.6795,70,1676.3149
2505.7608,8221.0003,12.5,12.1779,2.4756,0.0192,94.8007,150.4701,125.4627,0.247453,2.5807,6.8566,6.7363,6.5819,70,1677.2079
2505.9132,8221.5003,12.5,12.1779,2.4764,0.020506,95.6477,150.3253,119.5484,0.245337,2.5098,6.7851,6.6622,6.4843,70,1678.101
2506.0656,8222.0003,12.5,12.1779,2.4713,0.021479,96.1027,150.1568,115.8469,0.245851,2.5139,6.7454,6.6152,6.4349,70,1676.8461
2506.218,8222.5003,12.5,12.1779,2.4585,0.02201,96.0388,149.9567,115.0733,0.249846,2.6172,6.7478,6.6041,6.4493,70,1672.7491
2506.3704,8223.0003,12.5,12.1779,2.4456,0.022541,95.9749,149.7566,114.2996,0.25384,2.7205,6.7502,6.593,6.4636,70,1668.6523
2506.5228,8223.5003,12.5,12.1779,2.4344,0.022796,95.936,149.7631,113.5493,0.257609,2.7959,6.7514,6.5871,6.4809,70,1666.8253
2506.6752,8224.0003,12.5,12.1779,2.433,0.021484,96.039,150.9443,112.9317,0.260089,2.7123,6.7459,6.6104,6.5149,70,1677.9009
2506.8276,8224.5003,12.5,12.1779,2.4316,0.020172,96.142,152.1254,112.314,0.262569,2.6287,6.7403,6.6336,6.5489,70,1688.9766
2506.98,8225.0003,12.5,12.1779,2.4302,0.01886,96.245,153.3065,111.6963,0.265049,2.5451,6.7348,6.6569,6.5829,70,1700.0521
2507.1324,8225.5003,12.5,12.1779,2.4364,0.016387,96.1251,154.9054,111.945,0.26507,2.5718,6.6594,6.5792,6.5092,70,1697.8433
2507.2848,8226.0003,12.5,12.1779,2.4437,0.013739,95.9715,156.5674,112.3245,0.264719,2.6152,6.5735,6.4862,6.4192,70,1693.6277
2507.4372,8226.5003,12.5,12.1779,2.451,0.011091,95.818,158.2294,112.704,0.264367,2.6586,6.4876,6.3931,6.3292,70,1689.4121
2507.5896,8227.0003,12.5,12.1779,2.4515,0.013024,94.7351,159.44,113.0122,0.262926,2.6549,6.2272,6.1425,6.0795,70,1688.901
2507.742,8227.5003,12.5,12.1779,2.4472,0.018167,93.0008,160.3342,113.2706,0.260721,2.618,5.8446,5.7814,5.7179,70,1690.9862
2507.8944,8228.0003,12.5,12.1779,2.443,0.023311,91.2665,161.2283,113.5289,0.258516,2.5812,5.462,5.4202,5.3562,70,1693.0714
2508.0468,8228.5003,12.5,12.1779,2.4428,0.02532,89.9392,161.8997,114.1711,0.255438,2.5771,5.1443,5.1143,5.0504,70,1695.1913
2508.1992,8229.0003,12.5,12.1779,2.4519,0.020255,89.5302,162.0682,115.6794,0.250392,2.6472,4.973,4.933,4.8706,70,1697.3893
2508.3516,8229.5003,12.5,12.1779,2.4611,0.015191,89.1213,162.2368,117.1877,0.245347,2.7173,4.8017,4.7517,4.6908,70,1699.5874
2508.504,8230.0003,12.5,12.1779,2.4699,0.010338,88.7169,162.4109,118.5557,0.240569,2.7886,4.627,4.567,4.5071,70,1701.7366
2508.6564,8230.5003,12.5,12.1779,2.4675,0.013324,88.483,162.7946,114.7157,0.24572,2.9053,4.3246,4.2561,4.1793,70,1702.0731
2508.8088,8231.0003,12.5,12.1779,2.4652,0.016311,88.2491,163.1783,110.8756,0.250872,3.022,4.0222,3.9452,3.8515,70,1702.4097
2508.9612,8231.5003,12.5,12.1779,2.4628,0.019297,88.0152,163.562,107.0356,0.256024,3.1387,3.7198,3.6343,3.5237,70,1702.7462
2509.1136,8232.0003,12.5,12.1779,2.4573,0.022316,87.9753,163.1918,105.6407,0.256351,3.0863,3.6201,3.5294,3.4476,70,1698.2131
2509.266,8232.5003,12.5,12.1779,2.4508,0.025347,88.0016,162.5642,105.0809,0.25503,2.9763,3.5897,3.4948,3.4575,70,1692.0168
2509.4184,8233.0003,12.5,12.1779,2.4443,0.028377,88.0279,161.9366,104.5212,0.253709,2.8662,3.5592,3.4602,3.4674,70,1685.8206
2509.5708,8233.5003,12.5,12.1779,2.4435,0.028591,88.2199,160.5648,104.1403,0.250766,2.8605,3.5177,3.424,3.4429,70.1409,1683.1183
2509.7232,8234.0003,12.5,12.1779,2.4494,0.025559,88.6027,158.3353,103.9657,0.245954,2.9751,3.4635,3.3858,3.3789,70.4441,1684.4431
2509.8756,8234.5003,12.5,12.1779,2.4552,0.022526,88.9855,156.1058,103.791,0.241141,3.0896,3.4092,3.3476,3.3148,70.7474,1685.7681
2510.028,8235.0003,12.5,12.1779,2.4617,0.020116,89.3418,154.0571,103.6737,0.238041,3.1802,3.3936,3.3427,3.2946,70.9952,1687.3459
2510.1804,8235.5003,12.5,12.1779,2.4708,0.020475,89.58,152.8115,103.8106,0.24255,3.164,3.5497,3.4853,3.4696,70.9968,1690.0481
2510.3328,8236.0003,12.5,12.1779,2.48,0.020833,89.8183,151.5659,103.9476,0.247058,3.1479,3.7058,3.628,3.6447,70.9983,1692.7502
2510.4852,8236.5003,12.5,12.1779,2.4891,0.021192,90.0565,150.3204,104.0846,0.251567,3.1318,3.8619,3.7706,3.8197,70.9998,1695.4523
2510.6376,8237.0003,12.5,12.1779,2.4813,0.023641,89.6129,150.1415,103.3865,0.253697,2.9909,3.7468,3.6796,3.7339,71,1692.6244
2510.79,8237.5003,12.5,12.1779,2.4716,0.026315,89.0959,150.0773,102.5986,0.255573,2.8365,3.6025,3.5634,3.6202,71,1689.2018
2510.9424,8238.0003,12.5,12.1779,2.4619,0.028989,88.5789,150.0132,101.8107,0.257448,2.6821,3.4581,3.4472,3.5064,71,1685.7791
2511.0948,8238.5003,12.5,12.1779,2.456,0.031232,88.3802,150.0023,101.9666,0.253503,2.6538,3.357,3.3478,3.3921,71,1684.7317
2511.2472,8239.0003,12.5,12.1779,2.4524,0.033214,88.3749,150.0239,102.696,0.246023,2.7021,3.282,3.2586,3.2774,71,1685.1274
2511.3996,8239.5003,12.5,12.1779,2.4489,0.035195,88.3695,150.0455,103.4253,0.238542,2.7503,3.207,3.1694,3.1627,71,1685.5232
2511.552,8240.0003,12.5,12.1781,2.4437,0.034785,88.2949,150.1304,103.9938,0.235797,2.7698,3.1804,3.1288,3.1057,71,1686.1825
2511.7044,8240.5003,12.5,12.1785,2.4357,0.02976,88.0864,150.3376,104.2516,0.242196,2.7338,3.2471,3.1821,3.16,71,1687.3507
2511.8568,8241.0003,12.5,12.179,2.4276,0.024734,87.8779,150.5447,104.5095,0.248595,2.6978,3.3139,3.2353,3.2143,71,1688.5189
2512.0092,8241.5003,12.5,12.1799,2.4204,0.019871,87.7012,150.7546,104.7271,0.254048,2.6647,3.377,3.2863,3.2667,71,1689.839
2512.1616,8242.0003,12.5,12.1872,2.4265,0.01754,88.0189,151.008,104.3178,0.244777,2.6767,3.3837,3.3028,3.2893,71,1693.5231
2512.314,8242.5003,12.5,12.1945,2.4326,0.015208,88.3366,151.2614,103.9085,0.235505,2.6888,3.3904,3.3192,3.3119,71,1697.2072
2512.4664,8243.0003,12.5,12.2018,2.4387,0.012877,88.6544,151.5148,103.4992,0.226234,2.7008,3.3971,3.3356,3.3345,71,1700.8912
2512.6188,8243.5003,12.5,12.2034,2.4376,0.016553,88.8787,151.6192,101.503,0.230263,2.6777,3.4678,3.4,3.3954,71,1699.927
2512.7712,8244.0003,12.5,12.2034,2.4346,0.021929,89.0766,151.6814,99.058,0.238054,2.6446,3.5566,3.478,3.4672,71,1697.6482
2512.9236,8244.5003,12.5,12.2034,2.4315,0.027305,89.2745,151.7437,96.6129,0.245844,2.6116,3.6455,3.5559,3.539,71,1695.3693
2513.076,8245.0003,12.5,12.2151,2.4361,0.027972,89.2043,151.5443,96.4392,0.250934,2.6116,3.7831,3.6835,3.6632,71,1694.1039
2513.2284,8245.5003,12.5,12.2384,2.4484,0.023905,88.8646,151.0819,98.5488,0.253308,2.6449,3.9697,3.8609,3.84,71,1693.8572
2513.3808,8246.0003,12.5,12.2618,2.4607,0.019838,88.5249,150.6194,100.6583,0.255683,2.6782,4.1564,4.0384,4.0169,71,1693.6106
